bulletin,latitude,longitude,direction_deg,speed_kt,speed_m_s,temperature_c,d2T_dx2_K_m-2,d2T_dy2_K_m-2,laplacian_K_m-2,coriolis_s-1,eta_temperature_K_m-1_s-1
FBNA27,45.0,-130.0,250,56,28.0,-45,nan,nan,nan,0.00010182337649086285,nan
FBNA27,45.0,-125.0,230,79,39.5,-48,9.917355371900826e-12,nan,nan,0.00010182337649086285,nan
FBNA27,45.0,-120.0,270,66,33.0,-48,0.0,nan,nan,0.00010182337649086285,nan
FBNA27,45.0,-115.0,280,79,39.5,-48,3.305785123966942e-12,nan,nan,0.00010182337649086285,nan
FBNA27,45.0,-110.0,300,79,39.5,-47,0.0,nan,nan,0.00010182337649086285,nan
FBNA27,45.0,-105.0,210,41,20.5,-46,-3.305785123966942e-12,nan,nan,0.00010182337649086285,nan
FBNA27,40.0,-130.0,270,89,44.5,-45,nan,1.3223140495867768e-11,nan,9.256141579486166e-05,nan
FBNA27,40.0,-125.0,260,69,34.5,-45,3.305785123966942e-12,6.611570247933884e-12,9.917355371900826e-12,9.256141579486166e-05,1.0500064396165318e-06
FBNA27,40.0,-120.0,270,58,29.0,-44,-3.305785123966942e-12,3.305785123966942e-12,0.0,9.256141579486166e-05,0.0
FBNA27,40.0,-115.0,290,60,30.0,-44,-6.611570247933884e-12,-3.305785123966942e-12,-9.917355371900826e-12,9.256141579486166e-05,-1.0500064396165318e-06
FBNA27,40.0,-110.0,310,60,30.0,-46,3.305785123966942e-12,6.611570247933884e-12,9.917355371900826e-12,9.256141579486166e-05,1.0500064396165318e-06
FBNA27,40.0,-105.0,250,33,16.5,-47,3.305785123966942e-12,1.6528925619834712e-11,1.9834710743801656e-11,9.256141579486166e-05,2.100012879233064e-06
FBNA27,35.0,-130.0,270,62,31.0,-41,nan,nan,nan,8.259500683455063e-05,nan
FBNA27,35.0,-125.0,270,54,27.0,-40,0.0,nan,nan,8.259500683455063e-05,nan
FBNA27,35.0,-120.0,280,42,21.0,-39,-9.917355371900826e-12,-1.3223140495867768e-11,-2.3140495867768593e-11,8.259500683455063e-05,-2.745648534885384e-06
FBNA27,35.0,-115.0,290,46,23.0,-41,0.0,-6.611570247933884e-12,-6.611570247933884e-12,8.259500683455063e-05,-7.844710099672527e-07
FBNA27,35.0,-110.0,310,62,31.0,-43,6.611570247933884e-12,0.0,6.611570247933884e-12,8.259500683455063e-05,7.844710099672527e-07
FBNA27,35.0,-105.0,280,46,23.0,-43,3.305785123966942e-12,-3.305785123966942e-12,0.0,8.259500683455063e-05,0.0
FBNA23,45.0,-100.0,200,66,33.0,-46,1.3223140495867768e-11,nan,nan,0.00010182337649086285,nan
FBNA23,45.0,-95.0,220,52,26.0,-42,-1.3223140495867768e-11,nan,nan,0.00010182337649086285,nan
FBNA23,45.0,-90.0,230,56,28.0,-42,3.305785123966942e-12,nan,nan,0.00010182337649086285,nan
FBNA23,45.0,-85.0,280,69,34.5,-41,-9.917355371900826e-12,nan,nan,0.00010182337649086285,nan
